Rank   Event          Stage          Round          Matches  Match Code                          Match ID
--------------------------------------------------------------------------------------------------------------

--- Global Round 1 ---
1      Women's A      WF             WF R1          16       WOM_WOM_E11_WF_R1_01                1073
2      Women's A      WF             WF R1          16       WOM_WOM_E11_WF_R1_02                1074
3      Women's A      WF             WF R1          16       WOM_WOM_E11_WF_R1_03                1075
4      Women's A      WF             WF R1          16       WOM_WOM_E11_WF_R1_04                1076
5      Women's A      WF             WF R1          16       WOM_WOM_E11_WF_R1_05                1077
6      Women's A      WF             WF R1          16       WOM_WOM_E11_WF_R1_06                1078
7      Women's A      WF             WF R1          16       WOM_WOM_E11_WF_R1_07                1079
8      Women's A      WF             WF R1          16       WOM_WOM_E11_WF_R1_08                1080
9      Women's A      WF             WF R1          16       WOM_WOM_E11_WF_R1_09                1081
10     Women's A      WF             WF R1          16       WOM_WOM_E11_WF_R1_10                1082
11     Women's A      WF             WF R1          16       WOM_WOM_E11_WF_R1_11                1083
12     Women's A      WF             WF R1          16       WOM_WOM_E11_WF_R1_12                1084
13     Women's A      WF             WF R1          16       WOM_WOM_E11_WF_R1_13                1085
14     Women's A      WF             WF R1          16       WOM_WOM_E11_WF_R1_14                1086
15     Women's A      WF             WF R1          16       WOM_WOM_E11_WF_R1_15                1087
16     Women's A      WF             WF R1          16       WOM_WOM_E11_WF_R1_16                1088
17     Women's B      WF             WF R1          16       WOM_WOM_E12_WF_R1_01                1153
18     Women's B      WF             WF R1          16       WOM_WOM_E12_WF_R1_02                1154
19     Women's B      WF             WF R1          16       WOM_WOM_E12_WF_R1_03                1155
20     Women's B      WF             WF R1          16       WOM_WOM_E12_WF_R1_04                1156
21     Women's B      WF             WF R1          16       WOM_WOM_E12_WF_R1_05                1157
22     Women's B      WF             WF R1          16       WOM_WOM_E12_WF_R1_06                1158
23     Women's B      WF             WF R1          16       WOM_WOM_E12_WF_R1_07                1159
24     Women's B      WF             WF R1          16       WOM_WOM_E12_WF_R1_08                1160
25     Women's B      WF             WF R1          16       WOM_WOM_E12_WF_R1_09                1161
26     Women's B      WF             WF R1          16       WOM_WOM_E12_WF_R1_10                1162
27     Women's B      WF             WF R1          16       WOM_WOM_E12_WF_R1_11                1163
28     Women's B      WF             WF R1          16       WOM_WOM_E12_WF_R1_12                1164
29     Women's B      WF             WF R1          16       WOM_WOM_E12_WF_R1_13                1165
30     Women's B      WF             WF R1          16       WOM_WOM_E12_WF_R1_14                1166
31     Women's B      WF             WF R1          16       WOM_WOM_E12_WF_R1_15                1167
32     Women's B      WF             WF R1          16       WOM_WOM_E12_WF_R1_16                1168
33     Women's C      WF             WF R1          16       WOM_WOM_E13_WF_R1_01                1233
34     Women's C      WF             WF R1          16       WOM_WOM_E13_WF_R1_02                1234
35     Women's C      WF             WF R1          16       WOM_WOM_E13_WF_R1_03                1235
36     Women's C      WF             WF R1          16       WOM_WOM_E13_WF_R1_04                1236
37     Women's C      WF             WF R1          16       WOM_WOM_E13_WF_R1_05                1237
38     Women's C      WF             WF R1          16       WOM_WOM_E13_WF_R1_06                1238
39     Women's C      WF             WF R1          16       WOM_WOM_E13_WF_R1_07                1239
